Oscore,Cscore,Escore,AScore,Nscore,SS,Impulsive,Ketamine,Ketamine_User
-0.71727,-0.89891,-0.30033,0.43852,0.73545,-0.21575,-0.21712,CL0,N
0.29338,-0.89891,-0.15487,-0.01729,0.52135,0.40148,0.52975,CL0,N
-0.01928,1.81175,-0.43999,1.2861,-0.14882,-1.18084,-0.71126,CL0,N
-0.17779,1.30612,0.16767,-0.01729,0.62967,-0.84637,-0.21712,CL0,N
0.88309,0.58489,0.16767,-0.01729,1.49158,0.7654,0.52975,CL0,N
-0.58331,-1.13788,-1.23177,-0.45321,0.62967,-0.21575,-0.21712,CL0,N
-1.27553,-0.89891,-0.43999,1.45039,1.72012,-1.54858,-1.37983,CL0,N
0.44585,-0.00665,0.47617,-0.45321,-0.34799,0.07987,-0.21712,CL1,N
1.06238,-0.14277,-0.43999,-1.47955,0.41667,0.7654,-0.21712,CL0,N
0.29338,-0.52745,0.16767,0.76096,0.41667,0.7654,0.19268,CL5,Y
-0.45174,0.41594,-1.09207,1.81866,0.52135,0.40148,-1.37983,CL0,N
0.7233,1.30612,2.32338,1.81866,-0.46725,0.07987,0.52975,CL2,N
-1.68062,0.7583,-0.80615,0.28783,-1.55078,-2.07848,-0.21712,CL0,N
-0.17779,0.7583,-0.15487,0.28783,-1.1943,0.07987,-0.21712,CL0,N
1.06238,-1.13788,0.63779,-1.47955,1.49158,0.7654,0.88113,CL0,N
0.44585,-0.89891,-1.50796,-0.01729,1.02119,0.07987,-0.71126,CL0,N
-0.31776,-2.04506,-0.94779,-1.772,1.8399,1.92173,1.29221,CL5,Y
-0.01928,-0.00665,1.11406,-0.01729,0.73545,1.2247,-0.21712,CL1,N
-0.01928,0.7583,-0.94779,0.43852,0.13606,-0.52593,-0.21712,CL3,Y
1.06238,-2.42317,-2.32338,-0.01729,2.61139,-0.84637,0.19268,CL0,N
1.65653,-0.27607,0.96248,0.43852,0.13606,0.07987,0.52975,CL0,N
-2.39883,0.7583,-0.43999,-0.30172,1.02119,-2.07848,-1.37983,CL0,N
1.06238,-0.40581,0.80523,-0.91699,-1.69163,0.07987,-0.71126,CL3,Y
0.58331,0.93949,0.16767,0.59042,-0.79151,-0.52593,-1.37983,CL0,N
-0.84732,1.46191,0.16767,1.11406,-0.58016,1.2247,0.52975,CL0,N
0.58331,-0.14277,-0.15487,-1.6209,0.62967,1.92173,1.29221,CL5,Y
0.14143,0.58489,-1.23177,-0.15487,0.41667,0.07987,0.52975,CL1,N
-0.01928,0.12331,0.47617,0.13136,-0.79151,0.07987,-0.21712,CL2,N
-0.97631,0.25953,0.80523,0.28783,0.31287,0.40148,-0.21712,CL0,N
-0.71727,1.13407,0.16767,1.61108,-0.24649,-1.18084,0.19268,CL0,N
-0.58331,0.58489,0.32197,1.2861,-0.67825,1.2247,0.52975,CL0,N
0.58331,0.93949,1.45421,0.13136,0.62967,1.92173,0.19268,CL0,N
-1.11902,-2.42317,0.32197,-0.45321,1.72012,-0.21575,2.90161,CL0,N
0.7233,0.12331,0.32197,0.94156,1.37297,0.07987,-0.71126,CL0,N
-0.01928,-0.00665,0.63779,0.13136,-0.67825,0.40148,1.29221,CL0,N
-1.55521,-0.78155,0.32197,1.11406,-0.46725,-0.84637,-1.37983,CL0,N
1.88511,-0.78155,1.45421,1.2861,-0.58016,1.92173,0.19268,CL0,N
0.29338,1.30612,1.74091,0.59042,0.04257,-0.52593,0.19268,CL0,N
-1.97495,0.7583,0.63779,0.28783,-0.58016,-0.52593,-0.71126,CL0,N
-1.42424,-1.25773,0.16767,-1.21213,0.73545,1.2247,0.19268,CL2,N
0.58331,0.12331,1.93886,-1.47955,-1.86962,1.92173,1.29221,CL0,N
0.7233,-1.5184,0.16767,-1.21213,-1.32828,0.7654,-0.71126,CL6,Y
-0.45174,0.7583,0.63779,-1.07533,-1.05308,0.7654,0.88113,CL0,N
-0.45174,-1.78169,-1.37639,1.45039,0.52135,0.40148,1.29221,CL4,Y
0.44585,0.93949,1.45421,1.2861,-1.05308,0.07987,-0.21712,CL0,N
-1.68062,0.93949,0.47617,-0.15487,-0.58016,-0.84637,-1.37983,CL0,N
0.14143,1.63088,-0.43999,0.43852,0.41667,-0.21575,-1.37983,CL1,N
2.15324,-0.27607,0.80523,0.76096,-0.46725,-0.84637,-1.37983,CL0,N
1.24033,0.93949,0.00332,1.81866,0.62967,1.92173,1.86203,CL3,Y
1.43533,-0.00665,1.2861,-1.34289,-0.58016,1.2247,-0.71126,CL1,N
0.44585,-0.65253,0.00332,-0.45321,0.62967,0.40148,-0.21712,CL2,N
-0.71727,1.13407,0.96248,0.43852,-0.34799,-0.84637,-0.71126,CL0,N
0.29338,-0.14277,-0.43999,0.43852,1.23461,1.2247,-0.71126,CL0,N
0.14143,0.7583,2.127,0.13136,-0.46725,1.2247,1.86203,CL0,N
-0.17779,-1.0145,0.16767,-0.60633,1.02119,1.2247,1.29221,CL0,N
2.44904,-2.18109,0.00332,-0.60633,0.04257,1.2247,0.88113,CL0,N
0.7233,-0.40581,0.16767,0.28783,-0.05188,1.2247,0.88113,CL0,N
0.29338,-1.38502,0.63779,-1.07533,0.82562,-0.21575,-0.71126,CL4,Y
-0.17779,-1.0145,-0.15487,-1.92595,0.41667,0.40148,0.52975,CL2,N
2.44904,-0.65253,-1.09207,-0.91699,-0.24649,0.7654,1.29221,CL0,N
0.58331,-0.27607,-0.30033,0.13136,-0.14882,1.2247,1.29221,CL2,N
-2.09015,0.7583,-0.15487,0.28783,-0.92104,-1.54858,-1.37983,CL0,N
-1.42424,-0.65253,-0.43999,0.76096,0.91093,-0.52593,-1.37983,CL0,N
1.88511,0.25953,0.63779,-0.60633,-0.34799,0.7654,0.19268,CL0,N
-1.11902,0.41594,0.96248,0.94156,-0.79151,0.40148,0.19268,CL0,N
2.15324,-1.0145,1.45421,-0.30172,0.22393,1.92173,1.86203,CL4,Y
-0.71727,-0.89891,-1.50796,0.28783,1.02119,0.7654,-0.21712,CL0,N
1.06238,0.12331,1.11406,-1.47955,1.23461,1.92173,0.88113,CL1,N
-0.31776,1.13407,-0.57545,0.28783,-0.67825,-0.21575,-0.71126,CL0,N
-0.45174,-2.04506,-0.43999,-1.92595,2.61139,-0.21575,0.88113,CL0,N
-0.58331,-0.78155,-0.43999,2.23427,0.41667,0.07987,0.52975,CL4,Y
-0.17779,-0.40581,-0.15487,-0.45321,-0.79151,1.2247,-0.21712,CL0,N
-0.58331,-0.27607,0.32197,-1.772,0.82562,0.07987,0.19268,CL0,N
1.43533,0.93949,0.47617,0.28783,1.23461,-0.84637,0.19268,CL3,Y
0.14143,-0.00665,-1.09207,-1.34289,0.04257,-0.84637,-0.21712,CL4,Y
0.44585,0.7583,1.2861,0.43852,-1.05308,-0.21575,0.19268,CL2,N
-1.11902,-0.78155,-1.09207,-1.772,1.49158,0.07987,-0.71126,CL0,N
0.29338,0.41594,0.32197,0.94156,0.41667,-0.52593,-0.71126,CL0,N
1.06238,-1.25773,-1.23177,-1.07533,1.02119,0.40148,2.90161,CL2,N
2.44904,-0.65253,-0.15487,0.94156,2.127,0.07987,-0.21712,CL0,N
-0.84732,-0.78155,-0.94779,-1.34289,1.02119,0.7654,0.19268,CL0,N
-1.82919,0.25953,-1.37639,0.94156,0.52135,-0.84637,0.52975,CL0,N
0.7233,0.25953,0.47617,-0.60633,-0.14882,1.2247,-0.21712,CL2,N
-0.01928,-1.5184,0.16767,0.59042,-0.92104,-0.21575,1.29221,CL0,N
-0.31776,-0.65253,-0.15487,-0.30172,1.37297,0.07987,-0.21712,CL0,N
0.29338,1.46191,-0.30033,0.28783,-0.79151,-0.84637,-0.21712,CL0,N
-1.11902,0.58489,0.96248,-0.15487,-0.67825,-0.21575,0.19268,CL0,N
-0.45174,0.12331,0.00332,0.28783,-0.34799,-0.52593,-1.37983,CL0,N
-0.97631,0.58489,0.96248,-0.60633,0.22393,0.40148,1.29221,CL0,N
-1.68062,0.7583,-1.09207,0.94156,-0.14882,-2.07848,-0.71126,CL0,N
-1.82919,-0.89891,0.63779,-1.07533,0.22393,0.40148,0.88113,CL3,Y
-0.71727,1.13407,0.16767,-0.91699,0.73545,-0.84637,-1.37983,CL0,N
-0.84732,1.46191,-0.30033,-0.30172,-0.14882,-0.21575,-0.71126,CL0,N
-0.45174,-0.14277,-0.80615,-1.21213,-0.34799,0.40148,1.86203,CL0,N
-0.71727,1.63088,1.93886,2.03972,-0.79151,-1.18084,-0.21712,CL0,N
-0.17779,1.30612,0.96248,1.45039,-1.69163,-0.21575,-0.71126,CL0,N
-0.01928,0.41594,0.00332,-0.01729,-0.67825,-0.52593,-2.55524,CL0,N
0.44585,0.41594,0.47617,0.28783,-0.05188,-0.21575,-0.71126,CL2,N
1.06238,-1.5184,0.00332,-1.21213,0.91093,0.40148,1.29221,CL0,N
0.14143,-1.64101,-1.37639,-0.30172,2.127,-0.21575,1.29221,CL3,Y
1.88511,-1.25773,2.127,-0.60633,-0.46725,1.92173,1.86203,CL0,N
0.7233,-1.5184,-1.6334,-1.07533,1.60383,1.2247,0.52975,CL0,N
-0.45174,0.25953,0.63779,-0.45321,-0.67825,0.40148,0.88113,CL0,N
1.65653,-1.13788,-0.69509,1.81866,-0.58016,-0.52593,-0.21712,CL4,Y
-1.11902,0.58489,-0.15487,-0.45321,-1.05308,-0.84637,-1.37983,CL0,N
-0.45174,-0.89891,0.32197,0.43852,0.31287,-0.21575,-0.21712,CL0,N
1.06238,-0.65253,-1.09207,-0.45321,-1.69163,0.07987,-0.71126,CL0,N
1.06238,2.04506,0.00332,0.59042,-0.24649,-0.52593,-0.71126,CL0,N
-0.71727,-0.27607,-1.23177,-0.60633,-0.05188,1.2247,1.86203,CL0,N
-1.82919,-0.40581,-1.50796,-0.91699,0.41667,-2.07848,-1.37983,CL0,N
1.88511,-1.5184,-0.15487,0.28783,0.31287,0.7654,1.29221,CL0,N
0.29338,-0.27607,0.16767,-0.30172,0.41667,0.7654,1.86203,CL3,Y
0.29338,2.04506,-0.94779,0.94156,-0.14882,-0.52593,-0.71126,CL0,N
0.7233,-0.40581,-0.57545,0.76096,1.13281,-0.21575,0.19268,CL0,N
0.88309,-1.64101,1.74091,-1.92595,1.23461,1.2247,0.88113,CL0,N
-1.68062,-0.65253,-1.23177,-1.07533,1.23461,0.07987,1.86203,CL0,N
0.88309,-0.78155,0.32197,1.11406,0.31287,0.07987,0.52975,CL0,N
-0.01928,0.25953,-0.80615,0.59042,-0.05188,-2.07848,-1.37983,CL0,N
1.06238,-0.52745,-0.94779,1.2861,-1.1943,1.2247,0.88113,CL0,N
-1.82919,0.12331,-0.80615,-1.07533,0.62967,-0.84637,-0.71126,CL0,N
1.24033,-1.5184,-0.43999,0.13136,-0.34799,0.40148,0.52975,CL0,N
0.14143,-0.14277,0.00332,-0.76096,-1.86962,0.40148,0.52975,CL0,N
0.44585,0.12331,-0.43999,0.59042,-1.1943,-0.21575,-1.37983,CL0,N
-0.97631,-1.38502,0.00332,0.13136,0.52135,-0.52593,-0.71126,CL0,N
-0.31776,-0.00665,-0.43999,0.76096,-0.24649,-0.52593,-0.71126,CL0,N
-0.58331,0.93949,0.47617,-0.30172,-0.58016,-0.84637,-0.21712,CL0,N
-0.01928,-0.14277,0.80523,0.13136,0.52135,0.07987,-0.21712,CL0,N
-0.58331,0.58489,-1.92173,-1.772,1.49158,1.2247,-0.21712,CL0,N
-2.21069,1.30612,-0.15487,0.28783,0.91093,-2.07848,-1.37983,CL0,N
-0.45174,0.41594,-1.92173,-0.01729,1.02119,-2.07848,-0.71126,CL0,N
1.88511,3.00537,-1.09207,0.28783,-0.79151,1.2247,-0.21712,CL3,Y
-0.31776,-0.89891,0.16767,-0.45321,-0.24649,0.7654,1.29221,CL3,Y
1.06238,1.13407,0.47617,-0.45321,-1.43907,-0.84637,-1.37983,CL0,N
0.14143,-0.00665,0.47617,0.43852,-0.34799,0.40148,0.52975,CL0,N
-0.01928,-1.25773,-0.69509,-0.30172,0.41667,0.40148,-1.37983,CL0,N
-1.27553,-0.14277,-1.23177,-1.6209,-0.46725,-1.54858,-1.37983,CL0,N
0.58331,-0.00665,0.16767,-2.07848,0.62967,-0.21575,1.86203,CL0,N
-0.45174,-1.64101,-0.94779,-0.30172,2.127,0.07987,1.29221,CL2,N
-0.58331,-1.25773,0.00332,-0.45321,-0.14882,-1.54858,-1.37983,CL0,N
0.7233,-0.27607,0.00332,0.59042,0.52135,1.92173,0.88113,CL0,N
0.7233,0.41594,-0.57545,-1.6209,0.52135,0.40148,-0.21712,CL0,N
0.7233,-0.27607,-0.15487,0.94156,-0.58016,0.40148,-0.71126,CL0,N
1.88511,0.12331,-1.6334,-0.91699,0.04257,0.40148,0.19268,CL0,N
-0.97631,-0.52745,0.63779,0.76096,0.22393,-2.07848,-1.37983,CL0,N
-0.58331,0.7583,0.32197,0.13136,0.62967,-0.21575,-0.21712,CL0,N
-0.01928,-1.25773,-0.94779,-1.21213,1.98437,-1.18084,-0.71126,CL0,N
0.29338,-0.27607,0.16767,-0.30172,0.62967,-0.52593,-0.21712,CL0,N
-0.97631,1.46191,0.63779,0.28783,-0.34799,-0.84637,-0.21712,CL0,N
0.29338,-0.27607,-1.6334,-0.60633,-0.14882,0.40148,-0.71126,CL2,N
-0.17779,0.12331,0.47617,-1.07533,-0.14882,1.2247,-0.71126,CL0,N
-1.82919,0.41594,-0.80615,0.13136,0.13606,-2.07848,-1.37983,CL0,N
0.44585,0.25953,1.93886,0.13136,-1.43907,1.92173,0.88113,CL0,N
-0.97631,1.46191,1.45421,0.59042,-2.05048,-1.18084,-0.21712,CL0,N
0.44585,-0.14277,0.47617,0.76096,0.04257,1.2247,1.86203,CL2,N
-0.71727,0.41594,0.32197,-1.34289,-1.32828,1.2247,0.52975,CL0,N
-0.17779,0.7583,0.16767,-0.30172,-0.79151,0.40148,0.19268,CL0,N
-1.42424,-0.00665,1.11406,0.28783,-1.1943,-0.84637,-0.71126,CL0,N
-1.55521,0.41594,0.00332,0.13136,-0.46725,1.2247,0.52975,CL0,N
1.43533,-0.65253,-0.15487,1.2861,0.41667,0.07987,0.52975,CL0,N
-1.55521,0.7583,-0.43999,0.94156,-0.46725,-1.54858,-1.37983,CL0,N
0.7233,-0.78155,0.80523,0.94156,0.52135,1.2247,0.52975,CL0,N
1.43533,0.58489,0.16767,0.59042,0.41667,0.07987,-1.37983,CL0,N
-0.17779,-2.04506,-0.80615,-0.01729,0.22393,-2.07848,-0.71126,CL3,Y
-0.17779,0.12331,0.32197,-0.15487,-0.34799,1.2247,0.88113,CL3,Y
0.88309,1.13407,0.47617,-0.01729,-0.24649,1.2247,-0.21712,CL0,N
0.88309,-0.27607,-0.57545,-0.76096,-0.14882,0.7654,1.86203,CL2,N
0.44585,-0.00665,0.47617,0.59042,-0.92104,0.40148,0.19268,CL2,N
-0.58331,-0.27607,-0.80615,-0.45321,0.82562,-0.52593,-0.71126,CL0,N
-0.71727,-0.00665,0.32197,-0.30172,0.62967,-1.54858,-0.21712,CL0,N
0.44585,0.25953,-2.21069,0.76096,0.52135,1.92173,-0.21712,CL0,N
1.88511,1.30612,0.96248,1.81866,-1.05308,0.07987,-0.71126,CL0,N
0.29338,0.12331,0.80523,-0.30172,-0.24649,1.2247,1.86203,CL2,N
0.7233,-2.18109,0.47617,0.43852,-0.92104,1.92173,1.86203,CL2,N
0.44585,0.25953,1.74091,0.13136,-0.67825,0.07987,-0.71126,CL2,N
-1.82919,-1.64101,-1.50796,0.13136,2.46262,-0.52593,0.88113,CL2,N
-0.97631,-0.00665,1.2861,0.43852,0.13606,-0.21575,-0.21712,CL0,N
1.24033,0.58489,0.80523,1.11406,0.41667,0.07987,-0.71126,CL0,N
0.7233,0.7583,0.16767,0.13136,-2.05048,1.2247,0.19268,CL0,N
1.24033,-0.00665,0.80523,0.59042,-1.69163,-1.54858,-0.21712,CL0,N
-0.31776,-0.27607,0.47617,-1.34289,0.41667,1.2247,0.52975,CL3,Y
-2.8595,2.63199,1.74091,-0.76096,-0.05188,-1.54858,-1.37983,CL0,N
-0.71727,0.7583,0.47617,0.76096,-1.05308,-0.21575,-0.21712,CL0,N
-0.58331,-0.52745,-0.30033,-0.76096,0.52135,0.7654,-0.21712,CL0,N
0.44585,1.46191,0.32197,-1.47955,-0.79151,0.07987,-0.21712,CL0,N
-0.84732,-2.57309,-2.5383,-1.6209,0.31287,0.07987,0.88113,CL5,Y
-0.01928,-0.40581,0.47617,-0.76096,-0.92104,0.40148,0.19268,CL0,N
-0.71727,0.41594,1.2861,0.43852,-0.05188,-0.52593,-0.71126,CL0,N
-0.45174,-0.14277,-0.94779,0.76096,0.82562,-0.21575,0.19268,CL0,N
0.29338,-0.89891,-2.32338,-1.07533,0.13606,-0.52593,-0.71126,CL5,Y
1.24033,0.93949,-0.15487,-2.07848,1.13281,-0.52593,0.52975,CL0,N
-0.45174,0.25953,0.16767,-0.30172,-0.92104,0.40148,-0.71126,CL0,N
1.24033,-1.13788,-0.80615,-1.6209,1.8399,0.40148,0.88113,CL0,N
1.88511,3.00537,-1.50796,-0.60633,0.62967,1.2247,0.19268,CL2,N
1.24033,0.25953,-1.37639,-1.772,1.23461,0.07987,0.88113,CL5,Y
-1.11902,-0.40581,-0.69509,-0.45321,0.04257,-2.07848,-1.37983,CL0,N
-0.45174,0.12331,0.16767,0.43852,0.13606,0.40148,-0.71126,CL0,N
0.7233,0.25953,0.63779,1.11406,-0.24649,1.2247,1.29221,CL0,N
1.43533,-1.38502,1.93886,-0.76096,-2.3436,1.2247,1.86203,CL2,N
-0.45174,0.41594,1.93886,1.11406,-0.79151,1.92173,0.88113,CL0,N
-1.42424,0.12331,-1.09207,-0.91699,0.82562,0.7654,0.52975,CL0,N
0.88309,0.93949,2.127,-0.01729,-1.55078,0.40148,-0.21712,CL5,Y
0.44585,0.12331,0.00332,1.2861,0.62967,0.07987,0.19268,CL0,N
-0.17779,-0.14277,0.80523,-0.91699,-1.43907,0.07987,-0.71126,CL0,N
0.14143,2.04506,0.96248,0.43852,-2.75696,-0.21575,-0.71126,CL0,N
-0.17779,0.12331,-0.43999,-0.45321,-0.34799,-0.84637,-0.71126,CL0,N
-2.39883,0.7583,-1.7625,-1.92595,-0.34799,-2.07848,-1.37983,CL0,N
0.14143,-1.64101,-0.30033,-0.30172,-0.34799,-0.84637,-0.21712,CL0,N
-0.45174,0.25953,-1.09207,0.59042,0.13606,-2.07848,-1.37983,CL0,N
-0.17779,-0.14277,-1.37639,-1.34289,0.22393,-2.07848,-1.37983,CL0,N
-1.27553,0.93949,-0.57545,0.94156,-0.58016,-2.07848,-1.37983,CL0,N
-0.97631,-1.0145,0.32197,0.94156,0.04257,-0.21575,0.19268,CL2,N
0.58331,1.13407,1.74091,-1.34289,-0.92104,1.2247,0.52975,CL0,N
0.44585,0.93949,1.11406,0.59042,1.23461,0.07987,-0.71126,CL0,N
-0.01928,-0.00665,-1.23177,0.43852,-0.79151,-0.84637,0.19268,CL0,N
2.15324,-1.5184,0.00332,0.13136,0.73545,0.7654,1.29221,CL4,Y
1.43533,1.46191,-0.30033,-0.30172,0.41667,0.40148,-0.21712,CL1,N
-0.71727,-0.40581,-0.30033,1.11406,1.60383,0.07987,0.19268,CL0,N
-0.97631,1.46191,-0.57545,-0.15487,0.41667,-2.07848,-1.37983,CL0,N
-0.97631,-0.14277,0.47617,0.43852,-0.34799,-0.21575,0.52975,CL0,N
-1.55521,1.46191,0.47617,-0.30172,2.61139,-0.84637,-0.21712,CL0,N
-1.27553,-0.27607,-2.44904,-0.76096,-0.34799,0.7654,0.19268,CL2,N
1.43533,0.93949,0.00332,0.76096,-0.24649,-0.21575,0.52975,CL0,N
-2.39883,-0.00665,0.00332,0.43852,-1.05308,0.07987,1.29221,CL4,Y
-0.01928,-0.40581,-0.15487,-0.15487,0.22393,-0.84637,0.88113,CL0,N
-0.31776,1.13407,-0.15487,2.23427,0.41667,-0.52593,-1.37983,CL0,N
-2.63199,0.25953,-1.09207,-0.91699,-0.05188,-1.54858,-1.37983,CL0,N
-0.17779,0.41594,0.32197,0.59042,0.41667,-0.52593,-0.71126,CL0,N
-0.31776,-0.14277,0.16767,-0.30172,-0.34799,0.07987,-1.37983,CL0,N
-1.97495,0.25953,-0.57545,-0.91699,0.82562,1.2247,0.52975,CL0,N
0.29338,0.7583,0.80523,-0.15487,0.13606,-0.84637,-0.71126,CL0,N
-0.31776,0.12331,0.00332,1.11406,1.23461,-0.52593,0.19268,CL0,N
1.06238,1.46191,1.2861,-0.76096,0.91093,0.40148,0.19268,CL0,N
0.7233,-0.27607,0.96248,0.28783,-0.24649,0.07987,0.52975,CL3,Y
-0.31776,-1.64101,0.63779,-1.34289,1.37297,1.2247,1.29221,CL3,Y
-0.17779,1.46191,-1.37639,0.28783,1.02119,-0.84637,-0.71126,CL0,N
-0.01928,-1.25773,-1.92173,0.59042,0.31287,-0.84637,-0.21712,CL0,N
0.88309,-0.78155,0.80523,0.59042,0.82562,0.07987,0.19268,CL0,N
-0.31776,-0.27607,0.63779,-0.60633,-1.55078,0.7654,0.52975,CL0,N
-1.55521,0.93949,0.63779,0.28783,0.31287,0.07987,0.19268,CL0,N
-0.84732,-0.52745,-0.57545,-0.60633,-0.14882,-2.07848,-0.21712,CL0,N
-1.11902,-0.00665,0.00332,0.28783,-0.46725,-0.52593,0.19268,CL0,N
0.7233,2.04506,-0.94779,-0.01729,1.49158,-1.18084,-0.21712,CL0,N
-0.01928,-0.89891,-0.15487,-1.34289,0.82562,0.07987,-1.37983,CL0,N
-0.97631,-0.65253,0.32197,0.28783,0.04257,0.7654,-0.71126,CL2,N
0.58331,0.58489,0.00332,-1.92595,0.91093,-1.18084,-0.21712,CL0,N
-0.45174,0.25953,0.32197,-0.15487,-0.58016,-1.18084,-0.21712,CL0,N
0.7233,0.25953,2.8595,2.23427,-1.43907,1.92173,0.52975,CL0,N
0.44585,1.13407,-0.94779,0.59042,0.62967,1.2247,1.86203,CL0,N
-1.11902,-0.27607,-2.11437,-1.21213,1.72012,-0.84637,0.88113,CL0,N
-1.27553,-0.89891,0.96248,-2.35413,-0.05188,1.92173,1.29221,CL0,N
-0.71727,-0.78155,-1.37639,-1.34289,0.73545,0.7654,-0.21712,CL0,N
-0.45174,0.12331,-0.80615,-1.47955,-0.67825,-0.21575,-0.71126,CL2,N
